SNo,City,Category,AQI_Value,Dominant_Pollutant,Stations,report_date,ingestion_timestamp
1,Agra,Moderate,155.0,"PM, PM2.510",6/6,2025-11-28,2025-11-28 16:55:23.307601
2,Ahmedabad,Poor,201.0,"PM, PM2.510",8/9,2025-11-28,2025-11-28 16:55:23.307601
3,Ahmednagar,Satisfactory,95.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
4,Aizawl,Good,37.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
5,Ajmer,Moderate,131.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
6,Akola,Moderate,117.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
7,Alwar,Moderate,131.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
8,Amaravati,Moderate,182.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
9,Ambala,Moderate,189.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
10,Amravati,Moderate,131.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
11,Anantapur,Moderate,101.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
12,Angul,Poor,246.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
13,Ankleshwar,Moderate,116.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
14,Araria,Moderate,141.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
15,Ariyalur,Satisfactory,81.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
16,Arrah,Moderate,145.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
17,Asansol,Moderate,119.0,"PM2.5",4/4,2025-11-28,2025-11-28 16:55:23.307601
18,Aurangabad (Bihar),Moderate,102.0,CO,1/1,2025-11-28,2025-11-28 16:55:23.307601
19,"Aurangabad(Maharashtra)",Moderate,142.0,"PM, PM2.510",2/3,2025-11-28,2025-11-28 16:55:23.307601
20,Baddi,Moderate,104.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
21,Badlapur,Moderate,117.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
22,Bagalkot,Satisfactory,53.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
23,Baghpat,Poor,294.0,"PM2.5",1/2,2025-11-28,2025-11-28 16:55:23.307601
24,Bahadurgarh,Poor,299.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
25,Balasore,Moderate,168.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
26,Ballabgarh,Poor,268.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
27,Banswara,Moderate,147.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
28,Baran,Moderate,119.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
29,Barbil,Poor,204.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
30,Bareilly,Satisfactory,76.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
31,Baripada,Moderate,105.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
32,Barmer,Moderate,168.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
33,Barrackpore,Moderate,124.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
34,Bathinda,Satisfactory,78.0,CO,1/1,2025-11-28,2025-11-28 16:55:23.307601
35,Begusarai,Satisfactory,70.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
36,Belapur,Moderate,172.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
37,Belgaum,Satisfactory,99.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
38,Bengaluru,Moderate,122.0,"PM, PM2.510",10/14,2025-11-28,2025-11-28 16:55:23.307601
39,Bettiah,Satisfactory,68.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
40,Bhagalpur,Satisfactory,99.0,"CO, PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
41,Bharatpur,Moderate,188.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
42,Bhilai,Satisfactory,64.0,"PM10",3/3,2025-11-28,2025-11-28 16:55:23.307601
43,Bhilwara,Moderate,176.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
44,Bhiwadi,Very Poor,350.0,"PM2.5",2/2,2025-11-28,2025-11-28 16:55:23.307601
45,Bhiwandi,Moderate,141.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
46,Bhiwani,Poor,271.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
47,Bhopal,Moderate,137.0,"PM10",1/3,2025-11-28,2025-11-28 16:55:23.307601
48,Bhubaneswar,Poor,218.0,"PM2.5",2/2,2025-11-28,2025-11-28 16:55:23.307601
